gtex_d	gtex_d_R1	gtex_d_R2
SRR1075247	SRR1075247_1.fastq.gz	SRR1075247_2.fastq.gz
SRR1075273	SRR1075273_1.fastq.gz	SRR1075273_2.fastq.gz
SRR1075294	SRR1075294_1.fastq.gz	SRR1075294_2.fastq.gz
SRR1075314	SRR1075314_1.fastq.gz	SRR1075314_2.fastq.gz
SRR1075336	SRR1075336_1.fastq.gz	SRR1075336_2.fastq.gz
SRR1075360	SRR1075360_1.fastq.gz	SRR1075360_2.fastq.gz
SRR1075384	SRR1075384_1.fastq.gz	SRR1075384_2.fastq.gz
SRR1075408	SRR1075408_1.fastq.gz	SRR1075408_2.fastq.gz
SRR1075433	SRR1075433_1.fastq.gz	SRR1075433_2.fastq.gz
SRR1075458	SRR1075458_1.fastq.gz	SRR1075458_2.fastq.gz
SRR1075484	SRR1075484_1.fastq.gz	SRR1075484_2.fastq.gz
SRR1075505	SRR1075505_1.fastq.gz	SRR1075505_2.fastq.gz
SRR1075530	SRR1075530_1.fastq.gz	SRR1075530_2.fastq.gz
SRR1075555	SRR1075555_1.fastq.gz	SRR1075555_2.fastq.gz
SRR1075579	SRR1075579_1.fastq.gz	SRR1075579_2.fastq.gz
SRR1075603	SRR1075603_1.fastq.gz	SRR1075603_2.fastq.gz
SRR1075607	SRR1075607_1.fastq.gz	SRR1075607_2.fastq.gz
SRR1075631	SRR1075631_1.fastq.gz	SRR1075631_2.fastq.gz
SRR1075659	SRR1075659_1.fastq.gz	SRR1075659_2.fastq.gz
SRR1075683	SRR1075683_1.fastq.gz	SRR1075683_2.fastq.gz
SRR1075707	SRR1075707_1.fastq.gz	SRR1075707_2.fastq.gz
SRR1075729	SRR1075729_1.fastq.gz	SRR1075729_2.fastq.gz
SRR1075752	SRR1075752_1.fastq.gz	SRR1075752_2.fastq.gz
SRR1075778	SRR1075778_1.fastq.gz	SRR1075778_2.fastq.gz
SRR1075804	SRR1075804_1.fastq.gz	SRR1075804_2.fastq.gz
SRR1075825	SRR1075825_1.fastq.gz	SRR1075825_2.fastq.gz
SRR1075850	SRR1075850_1.fastq.gz	SRR1075850_2.fastq.gz
SRR1075874	SRR1075874_1.fastq.gz	SRR1075874_2.fastq.gz
SRR1075898	SRR1075898_1.fastq.gz	SRR1075898_2.fastq.gz
SRR1075923	SRR1075923_1.fastq.gz	SRR1075923_2.fastq.gz
SRR1075947	SRR1075947_1.fastq.gz	SRR1075947_2.fastq.gz
SRR1075971	SRR1075971_1.fastq.gz	SRR1075971_2.fastq.gz
SRR1075997	SRR1075997_1.fastq.gz	SRR1075997_2.fastq.gz
SRR1076022	SRR1076022_1.fastq.gz	SRR1076022_2.fastq.gz
SRR1076046	SRR1076046_1.fastq.gz	SRR1076046_2.fastq.gz
SRR1076072	SRR1076072_1.fastq.gz	SRR1076072_2.fastq.gz
SRR1076096	SRR1076096_1.fastq.gz	SRR1076096_2.fastq.gz
SRR1076120	SRR1076120_1.fastq.gz	SRR1076120_2.fastq.gz
SRR1076144	SRR1076144_1.fastq.gz	SRR1076144_2.fastq.gz
SRR1076170	SRR1076170_1.fastq.gz	SRR1076170_2.fastq.gz
SRR1076195	SRR1076195_1.fastq.gz	SRR1076195_2.fastq.gz
SRR1076219	SRR1076219_1.fastq.gz	SRR1076219_2.fastq.gz
SRR1076244	SRR1076244_1.fastq.gz	SRR1076244_2.fastq.gz
SRR1076268	SRR1076268_1.fastq.gz	SRR1076268_2.fastq.gz
SRR1076292	SRR1076292_1.fastq.gz	SRR1076292_2.fastq.gz
SRR1076317	SRR1076317_1.fastq.gz	SRR1076317_2.fastq.gz
SRR1076343	SRR1076343_1.fastq.gz	SRR1076343_2.fastq.gz
SRR1076369	SRR1076369_1.fastq.gz	SRR1076369_2.fastq.gz
SRR1076393	SRR1076393_1.fastq.gz	SRR1076393_2.fastq.gz
SRR1076417	SRR1076417_1.fastq.gz	SRR1076417_2.fastq.gz
SRR1076441	SRR1076441_1.fastq.gz	SRR1076441_2.fastq.gz
SRR1076465	SRR1076465_1.fastq.gz	SRR1076465_2.fastq.gz
SRR1076490	SRR1076490_1.fastq.gz	SRR1076490_2.fastq.gz
SRR1076511	SRR1076511_1.fastq.gz	SRR1076511_2.fastq.gz
SRR1076535	SRR1076535_1.fastq.gz	SRR1076535_2.fastq.gz
SRR1076559	SRR1076559_1.fastq.gz	SRR1076559_2.fastq.gz
SRR1076584	SRR1076584_1.fastq.gz	SRR1076584_2.fastq.gz
SRR1076608	SRR1076608_1.fastq.gz	SRR1076608_2.fastq.gz
SRR1076632	SRR1076632_1.fastq.gz	SRR1076632_2.fastq.gz
SRR1076657	SRR1076657_1.fastq.gz	SRR1076657_2.fastq.gz
SRR1076681	SRR1076681_1.fastq.gz	SRR1076681_2.fastq.gz
SRR1076705	SRR1076705_1.fastq.gz	SRR1076705_2.fastq.gz
SRR1076729	SRR1076729_1.fastq.gz	SRR1076729_2.fastq.gz
SRR1076753	SRR1076753_1.fastq.gz	SRR1076753_2.fastq.gz
SRR1076779	SRR1076779_1.fastq.gz	SRR1076779_2.fastq.gz
SRR1076801	SRR1076801_1.fastq.gz	SRR1076801_2.fastq.gz
SRR1076823	SRR1076823_1.fastq.gz	SRR1076823_2.fastq.gz
SRR1076847	SRR1076847_1.fastq.gz	SRR1076847_2.fastq.gz
SRR1076868	SRR1076868_1.fastq.gz	SRR1076868_2.fastq.gz
SRR1076892	SRR1076892_1.fastq.gz	SRR1076892_2.fastq.gz
SRR1076916	SRR1076916_1.fastq.gz	SRR1076916_2.fastq.gz
SRR1076940	SRR1076940_1.fastq.gz	SRR1076940_2.fastq.gz
SRR1076964	SRR1076964_1.fastq.gz	SRR1076964_2.fastq.gz
SRR1076990	SRR1076990_1.fastq.gz	SRR1076990_2.fastq.gz
SRR1077038	SRR1077038_1.fastq.gz	SRR1077038_2.fastq.gz
SRR1077066	SRR1077066_1.fastq.gz	SRR1077066_2.fastq.gz
SRR1077090	SRR1077090_1.fastq.gz	SRR1077090_2.fastq.gz
SRR1077115	SRR1077115_1.fastq.gz	SRR1077115_2.fastq.gz
SRR1077139	SRR1077139_1.fastq.gz	SRR1077139_2.fastq.gz
SRR1077159	SRR1077159_1.fastq.gz	SRR1077159_2.fastq.gz
SRR1077183	SRR1077183_1.fastq.gz	SRR1077183_2.fastq.gz
SRR1077211	SRR1077211_1.fastq.gz	SRR1077211_2.fastq.gz
SRR1077239	SRR1077239_1.fastq.gz	SRR1077239_2.fastq.gz
SRR1077263	SRR1077263_1.fastq.gz	SRR1077263_2.fastq.gz
SRR1077288	SRR1077288_1.fastq.gz	SRR1077288_2.fastq.gz
SRR1077310	SRR1077310_1.fastq.gz	SRR1077310_2.fastq.gz
SRR1077334	SRR1077334_1.fastq.gz	SRR1077334_2.fastq.gz
SRR1077356	SRR1077356_1.fastq.gz	SRR1077356_2.fastq.gz
SRR1077380	SRR1077380_1.fastq.gz	SRR1077380_2.fastq.gz
