SRR1430639 SRR1430639_1.fastq.gz SRR1430639_2.fastq.gz
SRR1430679 SRR1430679_1.fastq.gz SRR1430679_2.fastq.gz
SRR1430951 SRR1430951_1.fastq.gz SRR1430951_2.fastq.gz
SRR1431602 SRR1431602_1.fastq.gz SRR1431602_2.fastq.gz
SRR1432366 SRR1432366_1.fastq.gz SRR1432366_2.fastq.gz
SRR1433684 SRR1433684_1.fastq.gz SRR1433684_2.fastq.gz
SRR1434093 SRR1434093_1.fastq.gz SRR1434093_2.fastq.gz
SRR1434315 SRR1434315_1.fastq.gz SRR1434315_2.fastq.gz
SRR1434399 SRR1434399_1.fastq.gz SRR1434399_2.fastq.gz
SRR1434568 SRR1434568_1.fastq.gz SRR1434568_2.fastq.gz
SRR1434975 SRR1434975_1.fastq.gz SRR1434975_2.fastq.gz
SRR1435182 SRR1435182_1.fastq.gz SRR1435182_2.fastq.gz
SRR1435501 SRR1435501_1.fastq.gz SRR1435501_2.fastq.gz
SRR1435584 SRR1435584_1.fastq.gz SRR1435584_2.fastq.gz
SRR1436490 SRR1436490_1.fastq.gz SRR1436490_2.fastq.gz
SRR1437208 SRR1437208_1.fastq.gz SRR1437208_2.fastq.gz
SRR1437454 SRR1437454_1.fastq.gz SRR1437454_2.fastq.gz
SRR1439958 SRR1439958_1.fastq.gz SRR1439958_2.fastq.gz
SRR1440445 SRR1440445_1.fastq.gz SRR1440445_2.fastq.gz
SRR1441464 SRR1441464_1.fastq.gz SRR1441464_2.fastq.gz
SRR1441725 SRR1441725_1.fastq.gz SRR1441725_2.fastq.gz
SRR1441850 SRR1441850_1.fastq.gz SRR1441850_2.fastq.gz
SRR1442149 SRR1442149_1.fastq.gz SRR1442149_2.fastq.gz
SRR1442250 SRR1442250_1.fastq.gz SRR1442250_2.fastq.gz
SRR1442273 SRR1442273_1.fastq.gz SRR1442273_2.fastq.gz
SRR1442487 SRR1442487_1.fastq.gz SRR1442487_2.fastq.gz
SRR1442648 SRR1442648_1.fastq.gz SRR1442648_2.fastq.gz
SRR1442686 SRR1442686_1.fastq.gz SRR1442686_2.fastq.gz
SRR1443182 SRR1443182_1.fastq.gz SRR1443182_2.fastq.gz
SRR1444390 SRR1444390_1.fastq.gz SRR1444390_2.fastq.gz
SRR1444644 SRR1444644_1.fastq.gz SRR1444644_2.fastq.gz
