SRR1336357 SRR1336357_1.fastq.gz SRR1336357_2.fastq.gz
SRR1336379 SRR1336379_1.fastq.gz SRR1336379_2.fastq.gz
SRR1336481 SRR1336481_1.fastq.gz SRR1336481_2.fastq.gz
SRR1336548 SRR1336548_1.fastq.gz SRR1336548_2.fastq.gz
SRR1336660 SRR1336660_1.fastq.gz SRR1336660_2.fastq.gz
SRR1336727 SRR1336727_1.fastq.gz SRR1336727_2.fastq.gz
SRR1336887 SRR1336887_1.fastq.gz SRR1336887_2.fastq.gz
SRR1337074 SRR1337074_1.fastq.gz SRR1337074_2.fastq.gz
SRR1337098 SRR1337098_1.fastq.gz SRR1337098_2.fastq.gz
SRR1337119 SRR1337119_1.fastq.gz SRR1337119_2.fastq.gz
SRR1337412 SRR1337412_1.fastq.gz SRR1337412_2.fastq.gz
SRR1337431 SRR1337431_1.fastq.gz SRR1337431_2.fastq.gz
SRR1337564 SRR1337564_1.fastq.gz SRR1337564_2.fastq.gz
SRR1337648 SRR1337648_1.fastq.gz SRR1337648_2.fastq.gz
SRR1337864 SRR1337864_1.fastq.gz SRR1337864_2.fastq.gz
SRR1337909 SRR1337909_1.fastq.gz SRR1337909_2.fastq.gz
SRR1338219 SRR1338219_1.fastq.gz SRR1338219_2.fastq.gz
SRR1338301 SRR1338301_1.fastq.gz SRR1338301_2.fastq.gz
SRR1338323 SRR1338323_1.fastq.gz SRR1338323_2.fastq.gz
SRR1338584 SRR1338584_1.fastq.gz SRR1338584_2.fastq.gz
SRR1338627 SRR1338627_1.fastq.gz SRR1338627_2.fastq.gz
SRR1338669 SRR1338669_1.fastq.gz SRR1338669_2.fastq.gz
SRR1338923 SRR1338923_1.fastq.gz SRR1338923_2.fastq.gz
SRR1339218 SRR1339218_1.fastq.gz SRR1339218_2.fastq.gz
SRR1339387 SRR1339387_1.fastq.gz SRR1339387_2.fastq.gz
SRR1339530 SRR1339530_1.fastq.gz SRR1339530_2.fastq.gz
SRR1339549 SRR1339549_1.fastq.gz SRR1339549_2.fastq.gz
SRR1339651 SRR1339651_1.fastq.gz SRR1339651_2.fastq.gz
SRR1339740 SRR1339740_1.fastq.gz SRR1339740_2.fastq.gz
SRR1339968 SRR1339968_1.fastq.gz SRR1339968_2.fastq.gz
SRR1340095 SRR1340095_1.fastq.gz SRR1340095_2.fastq.gz
SRR1340133 SRR1340133_1.fastq.gz SRR1340133_2.fastq.gz
SRR1340202 SRR1340202_1.fastq.gz SRR1340202_2.fastq.gz
SRR1340301 SRR1340301_1.fastq.gz SRR1340301_2.fastq.gz
SRR1340420 SRR1340420_1.fastq.gz SRR1340420_2.fastq.gz
SRR1340463 SRR1340463_1.fastq.gz SRR1340463_2.fastq.gz
SRR1340508 SRR1340508_1.fastq.gz SRR1340508_2.fastq.gz
SRR1340700 SRR1340700_1.fastq.gz SRR1340700_2.fastq.gz
SRR1340907 SRR1340907_1.fastq.gz SRR1340907_2.fastq.gz
SRR1341008 SRR1341008_1.fastq.gz SRR1341008_2.fastq.gz
SRR1341057 SRR1341057_1.fastq.gz SRR1341057_2.fastq.gz
SRR1341277 SRR1341277_1.fastq.gz SRR1341277_2.fastq.gz
SRR1341365 SRR1341365_1.fastq.gz SRR1341365_2.fastq.gz
SRR1341387 SRR1341387_1.fastq.gz SRR1341387_2.fastq.gz
SRR1341521 SRR1341521_1.fastq.gz SRR1341521_2.fastq.gz
SRR1341605 SRR1341605_1.fastq.gz SRR1341605_2.fastq.gz
SRR1341702 SRR1341702_1.fastq.gz SRR1341702_2.fastq.gz
SRR1341763 SRR1341763_1.fastq.gz SRR1341763_2.fastq.gz
SRR1341898 SRR1341898_1.fastq.gz SRR1341898_2.fastq.gz
SRR1342045 SRR1342045_1.fastq.gz SRR1342045_2.fastq.gz
SRR1343115 SRR1343115_1.fastq.gz SRR1343115_2.fastq.gz
SRR1343197 SRR1343197_1.fastq.gz SRR1343197_2.fastq.gz
SRR1343281 SRR1343281_1.fastq.gz SRR1343281_2.fastq.gz
SRR1343481 SRR1343481_1.fastq.gz SRR1343481_2.fastq.gz
SRR1343841 SRR1343841_1.fastq.gz SRR1343841_2.fastq.gz
SRR1343879 SRR1343879_1.fastq.gz SRR1343879_2.fastq.gz
SRR1345478 SRR1345478_1.fastq.gz SRR1345478_2.fastq.gz
SRR1346670 SRR1346670_1.fastq.gz SRR1346670_2.fastq.gz
SRR1346813 SRR1346813_1.fastq.gz SRR1346813_2.fastq.gz
SRR1347688 SRR1347688_1.fastq.gz SRR1347688_2.fastq.gz
SRR1348021 SRR1348021_1.fastq.gz SRR1348021_2.fastq.gz
SRR1348159 SRR1348159_1.fastq.gz SRR1348159_2.fastq.gz
SRR1348339 SRR1348339_1.fastq.gz SRR1348339_2.fastq.gz
SRR1348360 SRR1348360_1.fastq.gz SRR1348360_2.fastq.gz
SRR1348424 SRR1348424_1.fastq.gz SRR1348424_2.fastq.gz
